City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
Enderby,BC,50.6077957,-118.7278137,1195000.0,5.0,5.0,0.35,Single Family,3681.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.9867512,-119.4436974,1449900.0,4.0,4.0,0.12,Single Family,4007.0,Yes,No,Finished,Concrete,Yes,forced air,vinyl,other,No,municipal,No,No,No
Kelowna,BC,49.9132643,-119.4523249,878900.0,3.0,2.0,0.16,Single Family,1658.0,Yes,No,No basement,Concrete,Yes,forced air,carpet,tile,No,municipal,No,No,No
Kelowna,BC,49.8961202,-119.4343345,1399000.0,5.0,4.0,0.21,Single Family,3968.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Coldstream,BC,50.2368622,-119.2618637,2399000.0,3.0,4.0,0.8,Single Family,3446.0,Yes,No,Finished,Concrete,Yes,boiler,wood,other,No,municipal,No,No,No
West Kelowna,BC,49.8392483,-119.6176327,624900.0,2.0,2.0,0.1,Single Family,1597.0,Yes,No,No basement,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.7961636,-119.5124315,1199997.0,4.0,4.0,0.13,Single Family,2908.0,Yes,No,Finished,Brick,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Lake Country,BC,50.0211862,-119.4356592,1450000.0,5.0,3.0,0.24,Single Family,2992.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,50.1203014,-119.5154751,614900.0,3.0,2.0,0.07,Single Family,1001.0,Yes,No,No basement,Composite,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Cherryville,BC,50.2496529,-118.7080841,749900.0,3.0,2.0,1.0,Single Family,1375.0,Yes,Yes,Finished,Vinyl,Yes,heat pump,vinyl,metal,No,septic,No,No,No
Kamloops,BC,50.7056236,-120.3791122,899900.0,6.0,4.0,0.27,Single Family,3454.0,Yes,Yes,Finished,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.840458,-119.605046,679000.0,2.0,2.0,0.0,Single Family,1447.0,Yes,No,No basement,Composite,No,forced air,wood,asphalt,No,municipal,No,No,No
Revelstoke,BC,50.9801064,-118.1714776,1050000.0,6.0,3.0,0.35,Single Family,2662.0,Yes,Yes,Finished,Concrete,Yes,radiant,laminate,asphalt,No,septic,No,No,No
Sun Peaks,BC,50.879835,-119.894147,2099000.0,4.0,4.0,0.19,Single Family,3483.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Penticton,BC,49.4887282,-119.5722698,795000.0,3.0,3.0,0.17,Single Family,1874.0,No,No,Partial,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8801918,-119.4116669,869000.0,4.0,3.0,0.14,Single Family,2357.0,Yes,No,Finished,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Barriere,BC,51.1905975,-120.1376419,595000.0,3.0,2.0,0.38,Single Family,1340.0,Yes,No,No basement,Composite,No,forced air,other,asphalt,No,municipal,No,No,No
Spallumcheen,BC,50.3419734,-119.2715559,1289000.0,3.0,3.0,2.01,Single Family,1933.0,Yes,No,No basement,Vinyl,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Blind Bay,BC,50.8617807,-119.3622412,839900.0,3.0,3.0,0.32,Single Family,3108.0,Yes,No,Partial,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Appledale,BC,49.6467552,-117.5273895,789900.0,5.0,3.0,2.85,Single Family,4144.0,No,No,Finished,Wood,Yes,radiant,wood,metal,No,septic,No,No,No
Vernon,BC,50.2501791,-119.3331621,1295000.0,4.0,3.0,3.25,Single Family,2139.0,Yes,No,Finished,Vinyl,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Peachland,BC,49.7823574,-119.7248536,2849999.0,9.0,8.0,0.26,Single Family,6204.0,Yes,Yes,Finished,Concrete,Yes,radiant,wood,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6675492,-120.1796328,724900.0,4.0,3.0,0.1,Single Family,2318.0,Yes,No,Finished,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Peachland,BC,49.7716056,-119.7557702,1400000.0,5.0,4.0,0.21,Single Family,4100.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Penticton,BC,49.5013579,-119.6161913,535000.0,2.0,2.0,0.0,Single Family,1670.0,Yes,No,No basement,Vinyl,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Blind Bay,BC,50.8769066,-119.3772097,658800.0,4.0,3.0,0.32,Single Family,2240.0,Yes,No,Finished,Wood,Yes,forced air,laminate,asphalt,No,septic,No,No,No
Kelowna,BC,49.861917,-119.2433624,1199000.0,5.0,2.0,10.1,Single Family,2873.0,No,Yes,Partial,Wood,No,forced air,wood,asphalt,No,septic,No,No,No
West Kelowna,BC,49.8693944,-119.6149252,1445000.0,4.0,4.0,0.15,Single Family,2884.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.9367638,-120.2432404,1465000.0,6.0,2.0,5.7,Single Family,3200.0,Yes,Yes,Finished,Vinyl,Yes,forced air,other,asphalt,No,none,No,No,No
Kamloops,BC,50.762043,-120.9675446,669000.0,2.0,2.0,1.21,Single Family,2196.0,Yes,Yes,Finished,Concrete,No,forced air,other,metal,No,none,No,No,No
